Smiles,MW,logP,H-bond donor,H-bond acceptor,Rotatable bonds,TPSA,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index,pchembl_value
CC[C@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(=O)C(=O)NCC(=O)OC,687.8389999999999,1.360300000000005,5.0,10.0,19.0,214.64999999999998,2.0,49.0,0.6764705882352942,2.2607984098391167,5.24
CC/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,343.296,4.082800000000001,2.0,2.0,3.0,50.739999999999995,1.0,22.0,0.3333333333333333,3.528760644846778,7.7
NC(=S)N1CCC(c2cccc(Cl)c2)=N1,239.73100000000002,1.9934,1.0,2.0,1.0,41.62,2.0,15.0,0.2,2.260564479747485,6.57
C[C@@H](C(=O)N[C@H]1CC(=O)OC1O)N1CC[C@H](NC(=O)OCc2ccccc2)C1=O,405.40700000000015,-0.3476999999999988,3.0,7.0,6.0,134.27,3.0,29.0,0.47368421052631576,1.4721795689892407,5.43
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O,461.5150000000003,1.0686000000000004,3.0,7.0,7.0,134.27,3.0,33.0,0.5652173913043478,1.6263890408031616,7.02
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O,461.5150000000003,1.0686000000000004,3.0,7.0,7.0,134.27,3.0,33.0,0.5652173913043478,1.6263890408031616,5.46
CC/C(=N\N=C(\N)S)c1cccc(Cl)c1,241.747,2.6986000000000008,2.0,2.0,3.0,50.739999999999995,1.0,15.0,0.2,3.023294544099614,6.66
O=C1C[C@H](Cc2ccccc2)N1C(=O)Nc1ccccc1,280.327,3.062100000000001,1.0,2.0,3.0,49.410000000000004,3.0,21.0,0.17647058823529413,1.6558264413049828,5.66
CCOP(=O)(C(=O)[C@@H](CC(C)C)NC(=O)C(CC(C)C)NC(=O)OCc1ccccc1)c1ccccc1,530.6020000000003,5.025100000000005,2.0,6.0,14.0,110.8,2.0,37.0,0.4642857142857143,2.211537116094674,6.43
CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)c1ccccc1,358.442,1.8239800000000004,2.0,4.0,6.0,94.46000000000001,2.0,26.0,0.5263157894736842,2.0316094817188457,7.29
CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)c1ccccc1,358.442,1.8239800000000004,2.0,4.0,6.0,94.46000000000001,2.0,26.0,0.5263157894736842,2.0316094817188457,8.4
N#C[C@@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)N1CCOCC1)c1ccccc1,398.5070000000002,2.748280000000001,2.0,4.0,6.0,94.46000000000001,3.0,29.0,0.5909090909090909,1.6705815200117426,8.05
N#C[C@@H](NC(=O)[C@H](CC1CCCCC1)NC(=O)N1CCOCC1)c1ccccc1,398.5070000000002,2.748280000000001,2.0,4.0,6.0,94.46000000000001,3.0,29.0,0.5909090909090909,1.6705815200117426,9.0
CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)CCc1ccccc1,386.4960000000001,2.0840800000000006,2.0,4.0,8.0,94.46000000000001,2.0,28.0,0.5714285714285714,1.9186715704880468,7.33
