SMILES,MW,logP,H-bond donor,H-bond acceptor,TPSA,Rotatable bonds,Smiles,Ring counts,Heavy atoms counts,Fraction CSP3,Balaban J Index
CCOC(=O)c1c(C)nc2nn3c(N)c(C#N)nnc3c2c1-c1ccc(OC)cc1,403.13928740399996,2.2871000000000006,1.0,10.0,141.30999999999997,4.0,,,,,
CCOC(=O)c1c(C)nc2nc(SC)nn2c1/C=C/N(C)C,321.125945848,1.86362,0.0,8.0,72.62,5.0,,,,,
CCOC(=O)c1c(Cl)nc(Cl)c(N)c1C,248.01193292,2.4557200000000003,1.0,4.0,65.21000000000001,2.0,,,,,
CCOC(=O)c1c(Cl)nc2c(Br)cc(N)c3c2c1-c1ccccc1C3=O,429.97198202399994,4.621000000000002,1.0,5.0,82.28,2.0,,,,,
CCOC(=O)c1[nH]c2ccccc2c1NC(=O)c1cc([N+](=O)[O-])ccc1Cl,387.062198228,4.158500000000002,2.0,5.0,114.33,5.0,,,,,
CCOC(=O)c1[nH]c2ccccc2c1NC(=O)c1cc(Cl)ccc1[N+](=O)[O-],387.062198228,4.158500000000002,2.0,5.0,114.33,5.0,,,,,
CCOC(=O)c1[nH]c2ccccc2c1NC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,424.16343648799995,4.022300000000004,2.0,6.0,98.88000000000001,8.0,,,,,
CCOC(=O)c1[nH]c2ccccc2c1NC(=O)/C=C/c1ccc2c(c1)OCO2,378.121571676,3.7252000000000027,2.0,5.0,89.65,5.0,,,,,
CCOC(=O)c1[nH]c2ccccc2c1NC(=O)/C=C/c1ccc(OC)c(OC)c1,394.152871804,4.013700000000003,2.0,5.0,89.65,7.0,,,,,
CCOC(=O)C(O)(C[N+](=O)[O-])C(F)(F)F,231.035457016,0.11959999999999987,1.0,5.0,89.67,4.0,,,,,
CCOC(=O)C(Cl)Cc1cccc([N+](=O)[O-])c1,257.04548554400003,2.3078000000000003,0.0,4.0,69.44,5.0,,,,,
CCOC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)/C=C/c1ccccc1,362.163042564,3.471700000000002,2.0,3.0,71.19,7.0,,,,,
CCOC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)/C=C/c1ccc(F)cc1,380.15362075200005,3.610800000000003,2.0,3.0,71.19,7.0,,,,,
CCOC(=O)C(Cc1ccc(NC(=O)/C(=C/c2ccc(OC(C)=O)c(OC)c2)NC(=O)c2ccccc2)cc1)N1C(=O)c2ccccc2C1=O,675.2216796359999,4.800500000000004,2.0,9.0,157.40999999999997,12.0,,,,,
CCOC(=O)C(Cc1ccc(NC(=O)/C(=C/c2ccc(OC(C)=O)cc2)NC(C)=O)cc1)N1C(=O)c2ccccc2C1=O,583.195464888,3.498000000000002,2.0,8.0,148.17999999999998,10.0,,,,,
CCOC(=O)C(Br)C[n+]1ccc(C)cc1,272.02806724009,1.6091199999999997,0.0,2.0,30.18,4.0,,,,,
CCOC(=O)c1c(C=O)c2ccccc2n1C(C)C(=O)OCC,317.12632270800003,2.754600000000001,0.0,6.0,74.60000000000001,6.0,,,,,
CCOC(=O)C(C)NC(=O)Nc1ccc2nc(S(=O)(=O)C(C)C)sc2c1,399.09226277199997,2.5515000000000008,2.0,7.0,114.46,6.0,,,,,
CCOC(=O)C(C(N)=O)c1nc2ccccc2nc1/C=C(\O)c1ccc(C)cc1C,405.168856216,3.4347400000000023,2.0,6.0,115.4,6.0,,,,,
CCOC(=O)C(NC(=O)/C(=C/c1ccc(Cl)cc1)NC(=O)c1ccco1)C(C)C,418.129549516,3.4078000000000017,2.0,5.0,97.64,8.0,,,,,
CCOC(=O)C(NC(=O)/C(=C/c1ccc(Br)cc1)NC(=O)c1ccc(Br)o1)C(C)C,539.989546004,4.2794000000000025,2.0,5.0,97.64,8.0,,,,,
CCOC(=O)C(NC(=O)CCl)(Nc1ccccc1)C(F)(F)F,338.06450464799997,2.2752,2.0,4.0,67.42999999999999,6.0,,,,,
CCOC(=O)C(NC(=O)CCl)(Nc1ccc(C(C)C)cc1)C(F)(F)F,380.11145484,3.398600000000002,2.0,4.0,67.42999999999999,7.0,,,,,
CCOC(=O)C(NC(=O)CCl)(Nc1ccccc1C(F)(F)F)C(F)(F)F,406.051889276,3.2940000000000014,2.0,4.0,67.42999999999999,6.0,,,,,
CCOC(=O)C(NC(=O)CCl)(Nc1ccc(S(N)(=O)=O)cc1)C(F)(F)F,417.03730392,0.9225999999999994,3.0,6.0,127.58999999999999,7.0,,,,,
CCOC(=O)C(NC(=O)CCl)(Nc1ccc(F)cc1)C(F)(F)F,356.05508283600005,2.4143,2.0,4.0,67.42999999999999,6.0,,,,,
CCOC(=O)C(NC(=O)CCl)(Nc1ccc(F)c(Cl)c1)C(F)(F)F,390.01611048399997,3.067700000000001,2.0,4.0,67.42999999999999,6.0,,,,,
CCOC(=O)C(O)(NC(=O)CC#N)C(F)(F)F,254.051441428,-0.1697200000000001,2.0,5.0,99.42,4.0,,,,,
C=CC(=O)NC(O)(C(=O)OCC)C(F)(F)F,241.05619246,0.10259999999999958,2.0,4.0,75.63000000000001,4.0,,,,,
CCOC(=O)C(Cl)c1ccccc1,198.044757272,2.5296000000000003,0.0,2.0,26.3,3.0,,,,,
CCOC(=O)C1CCCN(c2nc3ccccc3nc2S(=O)(=O)Cc2ccc(Cl)cc2)C1,473.117604928,4.0366000000000035,0.0,7.0,89.46000000000001,6.0,,,,,
CCOC(=O)C1CCCN(c2ccc(S(=O)(=O)Cc3ccc(Cl)cc3)nn2)C1,423.101954864,2.8834000000000017,0.0,7.0,89.46000000000001,6.0,,,,,
CCOC(=O)C1CCCN(c2ccc(S(=O)(=O)C3CCCCC3)nn2)C1,381.172227344,2.3625,0.0,7.0,89.46000000000001,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(C)cc4)nnn3c3ccsc23)C1,485.11914621599993,3.2597200000000024,0.0,10.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(C)c(C)c4)nnn3c3ccsc23)C1,499.13479627999993,3.5681400000000023,0.0,10.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(Br)cc4)nnn3c3ccsc23)C1,549.0140082199999,3.7138000000000027,0.0,10.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccccc4)nnn3c3ccccc23)C1,465.14707521599996,2.889800000000001,0.0,9.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(C)cc4)nnn3c3ccccc23)C1,479.16272527999996,3.198220000000001,0.0,9.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(C(C)C)cc4)nnn3c3ccccc23)C1,507.19402540799996,4.013200000000003,0.0,9.0,106.76,6.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(C)c(C)c4)nnn3c3ccccc23)C1,493.17837534399996,3.5066400000000026,0.0,9.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(Br)cc4)nnn3c3ccccc23)C1,543.057587284,3.652300000000002,0.0,9.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(c2nc3c(S(=O)(=O)c4ccc(C)c(C)c4)nnn3c3ccc(Cl)cc23)C1,527.139402992,4.160040000000003,0.0,9.0,106.76,5.0,,,,,
CCOC(=O)C1CCCN(S(=O)(=O)c2ccc3[nH]cc(C=O)c3c2)C1,364.10929273999994,1.9442,1.0,5.0,96.54,5.0,,,,,
